time,frequency
2025-03-16 16:18:59.281,49.0
2025-03-16 16:18:58.165,49.0
2025-03-16 16:18:56.998,49.0
2025-03-16 16:18:55.877,49.0
2025-03-16 16:18:54.774,49.0
2025-03-16 16:18:53.636,49.0
2025-03-16 16:18:52.465,49.0
2025-03-16 16:18:51.362,49.0
2025-03-16 16:18:50.251,49.0
2025-03-16 16:18:49.120,49.0
2025-03-16 16:18:48.006,49.0
2025-03-16 16:18:46.853,49.0
2025-03-16 16:18:45.751,49.0
2025-03-16 16:18:44.639,49.0
2025-03-16 16:18:43.524,49.0
2025-03-16 16:18:42.394,49.0
2025-03-16 16:18:41.279,49.0
2025-03-16 16:18:40.159,49.0
2025-03-16 16:18:39.039,49.0
2025-03-16 16:18:37.916,49.0
2025-03-16 16:18:36.791,49.0
2025-03-16 16:18:35.673,49.0
2025-03-16 16:18:34.563,49.0
2025-03-16 16:18:33.410,49.0
2025-03-16 16:18:32.265,49.0
2025-03-16 16:18:31.120,49.0
2025-03-16 16:18:29.991,49.0
2025-03-16 16:18:28.882,49.0
2025-03-16 16:18:27.770,49.0
2025-03-16 16:18:26.629,49.0
2025-03-16 16:18:25.408,49.0
2025-03-16 16:18:24.280,49.0
2025-03-16 16:18:23.158,49.0
2025-03-16 16:18:22.001,49.0
2025-03-16 16:18:20.761,49.0
2025-03-16 16:18:19.594,49.0
2025-03-16 16:18:18.475,49.0
2025-03-16 16:18:17.302,49.0
2025-03-16 16:18:16.157,49.0
2025-03-16 16:18:15.032,49.0
2025-03-16 16:18:13.915,49.0
2025-03-16 16:18:12.822,49.0
2025-03-16 16:18:11.674,49.0
2025-03-16 16:18:10.565,49.0
2025-03-16 16:18:09.431,49.0
2025-03-16 16:18:08.323,49.0
2025-03-16 16:18:07.199,49.0
2025-03-16 16:18:06.090,49.0
2025-03-16 16:18:04.982,49.0
2025-03-16 16:18:03.856,49.0
2025-03-16 16:18:02.719,49.0
2025-03-16 16:18:01.603,49.0
2025-03-16 16:18:00.482,49.0
2025-03-16 16:17:59.351,49.0
2025-03-16 16:17:58.199,49.0
2025-03-16 16:17:57.098,49.0
2025-03-16 16:17:55.950,49.0
2025-03-16 16:17:54.832,49.0
2025-03-16 16:17:53.726,49.0
2025-03-16 16:17:52.595,49.0
2025-03-16 16:17:51.470,49.0
2025-03-16 16:17:50.362,49.0
2025-03-16 16:17:49.195,49.0
2025-03-16 16:17:48.045,49.0
2025-03-16 16:17:46.919,49.0
2025-03-16 16:17:45.797,49.0
2025-03-16 16:17:44.671,49.0
2025-03-16 16:17:43.518,49.0
2025-03-16 16:17:42.411,49.0
2025-03-16 16:17:41.275,49.0
2025-03-16 16:17:40.158,49.0
2025-03-16 16:17:39.043,49.0
2025-03-16 16:17:37.923,49.0
2025-03-16 16:17:36.798,49.0
2025-03-16 16:17:35.640,49.0
2025-03-16 16:17:34.532,49.0
2025-03-16 16:17:33.408,49.0
2025-03-16 16:17:32.310,49.0
2025-03-16 16:17:31.140,49.0
2025-03-16 16:17:29.846,49.0
2025-03-16 16:17:28.720,49.0
2025-03-16 16:17:27.558,49.0
2025-03-16 16:17:26.415,49.0
2025-03-16 16:17:25.290,49.0
2025-03-16 16:17:24.158,49.0
2025-03-16 16:17:22.948,49.0
2025-03-16 16:17:21.800,49.0
2025-03-16 16:17:20.691,49.0
2025-03-16 16:17:19.592,49.0
2025-03-16 16:17:18.455,49.0
2025-03-16 16:17:17.311,49.0
2025-03-16 16:17:16.144,49.0
2025-03-16 16:17:15.034,49.0
2025-03-16 16:17:13.827,49.0
2025-03-16 16:17:12.689,49.0
2025-03-16 16:17:11.560,49.0
2025-03-16 16:17:10.409,49.0
2025-03-16 16:17:09.275,49.0
2025-03-16 16:17:08.148,49.0
2025-03-16 16:17:07.036,49.0
2025-03-16 16:17:05.929,49.0
2025-03-16 16:17:04.790,49.0
